# description : WCU focal plane mask, grid LM
# name : WCU FP mask #5
# author : Oliver Czoske
# source : E-SPE-UZK-MET-1015_2-0; E-REP-UZK-MET-1008_3-0, Table 10-8; LMS_astrometric_calibration_mask.pdf, RvB
# date_created : 2025-01-13
# date_modified : 2025-10-17
# status : FDR
# type : aperture:aperture_mask
# x_unit : arcsec
# y_unit : arcsec
# diam_unit : arcsec
# notes: diam 25 um at 3.319 mm/arcsec
# changes :
#    - 2025-10-17 (OC) merge lms mask into lm mask
#
 x       y       diam
 1.36    1.36    0.007532
 0.00    1.36    0.007532
-1.36    1.36    0.007532
 1.36    0.00    0.007532

-0.320850    0.320850   0.007539
-0.155250    0.320850   0.007539
 0.010350    0.320850   0.007539
 0.175950    0.320850   0.007539
 0.341550    0.320850   0.007539
-0.320850    0.155250   0.007539
-0.155250    0.155250   0.007539
 0.010350    0.155250   0.007539
 0.175950    0.155250   0.007539
 0.341550    0.155250   0.007539
-0.320850   -0.010350   0.007539
-0.155250   -0.010350   0.007539
 0.010350   -0.010350   0.007539
 0.175950   -0.010350   0.007539
 0.341550   -0.010350   0.007539
-0.320850   -0.175950   0.007539
 0.010350   -0.175950   0.007539
 0.175950   -0.175950   0.007539
 0.341550   -0.175950   0.007539
-0.320850   -0.341550   0.007539
-0.155250   -0.341550   0.007539
 0.010350   -0.341550   0.007539
 0.175950   -0.341550   0.007539
 0.341550   -0.341550   0.007539


-1.36    0.00    0.007532
 1.36   -1.36    0.007532
 0.00   -1.36    0.007532
-1.36   -1.36    0.007532

-6.44    6.44    0.007532
-4.29    6.44    0.007532
-2.15    6.44    0.007532
 0.00    6.44    0.007532
 2.15    6.44    0.007532
 4.29    6.44    0.007532

-6.44    4.29    0.007532
-4.29    4.29    0.007532
-2.15    4.29    0.007532
 0.00    4.29    0.007532
 2.15    4.29    0.007532
 4.29    4.29    0.007532
 6.44    4.29    0.007532

-6.44    2.15    0.007532
-4.29    2.15    0.007532
 4.29    2.15    0.007532
 6.44    2.15    0.007532

-6.44    0.00    0.007532
-4.29    0.00    0.007532
 4.29    0.00    0.007532
 6.44    0.00    0.007532

-6.44   -2.15    0.007532
-4.29   -2.15    0.007532
 4.29   -2.15    0.007532
 6.44   -2.15    0.007532

-6.44   -4.29    0.007532
-4.29   -4.29    0.007532
-2.15   -4.29    0.007532
 0.00   -4.29    0.007532
 2.15   -4.29    0.007532
 4.29   -4.29    0.007532
 6.44   -4.29    0.007532

-6.44   -6.44    0.007532
-4.29   -6.44    0.007532
-2.15   -6.44    0.007532
 0.00   -6.44    0.007532
 2.15   -6.44    0.007532
 4.29   -6.44    0.007532
 6.44   -6.44    0.007532

-8.79    0.00    0.007532
 8.79    0.00    0.007532

-12.88   0.00    0.007532
 12.88   0.00    0.007532

-7.93    9.78    0.007532
-3.96    9.78    0.007532
 0.00    9.78    0.007532
 3.96    9.78    0.007532
 7.93    9.78    0.007532

-7.93   -9.78    0.007532
-3.96   -9.78    0.007532
 0.00   -9.78    0.007532
 3.96   -9.78    0.007532
 7.93   -9.78    0.007532
